Publication Year,Action
2015,openaccess
2013,openaccess
2013,openpolicies
2018,openaccess
2020,openaccess
2019,openaccess
2020,openaccess
2019,openscience
2019,openmethod
2019,opendata
2019,openaccess
2018,openaccess
2016,openaccess
2020,openaccess
2010,openevaluation
2010,opentools
2017,openpolicies
2020,openaccess
2018,openaccess
2014,openaccess
2015,openaccess
2019,openaccess
2019,openaccess
2019,openaccess
2018,opendata
2014,opendata
2019,openaccess
2018,openaccess
2017,openaccess
2019,openaccess
2019,openaccess
2011,openaccess
2011,openpolicies
2012,openaccess
2020,openaccess
2020,openaccess
2010,openaccess
2018,openaccess
2015,opendata
2015,openeducation
2017,openaccess
2020,openaccess
2019,openaccess
2012,openaccess
2018,openaccess
2018,openpolicies
2015,openaccess
2017,openaccess
2011,openaccess
2012,openaccess
2012,openpolicies
2020,openaccess
2016,openaccess
2019,openaccess
2019,openscience
2020,openaccess
2017,opendata
2017,openscience
2017,openaccess
2017,opendata
2014,openaccess
2014,openpolicies
2019,opendata
2019,openaccess
2009,openaccess
2010,openaccess
2011,openaccess
2012,openaccess
2006,openaccess
2017,openaccess
2017,openaccess
2018,openaccess
2020,openaccess
2016,openaccess
2012,openaccess
2011,openaccess
2014,openaccess
2012,openaccess
2017,openaccess
2020,openaccess
2020,opendata
2020,openaccess
2010,openaccess
2010,openevaluation
2017,openaccess
2011,openaccess
2020,openaccess
2020,openaccess
2018,openaccess
2006,openaccess
2020,openaccess
2015,openaccess
2010,openaccess
2020,openaccess
2017,openaccess
2018,openaccess
2018,opentools
2018,openpolicies
2011,opentools
2017,openaccess
2015,openaccess
2009,openaccess
2009,opentools
2016,openaccess
2014,openaccess
2016,openaccess
2016,openaccess
2018,openaccess
2017,openaccess
2019,openaccess
2017,openaccess
2007,openaccess
2015,openaccess
2015,openaccess
2015,openaccess
2016,openaccess
2018,openaccess
2015,openaccess
2017,openaccess
2018,openaccess
2012,openaccess
2014,openaccess
2011,openaccess
2019,opendata
2020,openaccess
2010,openaccess
2010,openaccess
2015,openaccess
2011,openaccess
2014,openaccess
2015,openaccess
2015,opendata
2015,openmethod
2015,openevaluation
2015,opensoftware
2014,openaccess
2016,openaccess
2011,openaccess
2012,openaccess
2020,openaccess
2018,opendata
2014,openaccess
2014,opentools
2020,openaccess
2019,openaccess
2019,opendata
2019,opentools
2019,openaccess
2015,openaccess
2020,openaccess
2016,openaccess
2019,opendata
2017,openaccess
2018,openaccess
2020,openaccess
2016,opendata
2019,openaccess
2020,openaccess
2011,openaccess
2020,openaccess
2018,openaccess
2018,openaccess
2018,openpolicies
2016,openaccess
2015,openaccess
2019,openaccess
2018,openaccess
2017,openaccess
2015,openaccess
2017,openaccess
2019,openaccess
2017,openaccess
2013,openaccess
2013,opendata
2013,openmethod
2013,openeducation
2017,openaccess
2013,openaccess
2015,openaccess
2017,openaccess
2016,openevaluation
2020,openaccess
2017,opendata
2020,opentools
2015,opentools
2015,openaccess
2013,opendata
2015,openaccess
2010,openaccess
2010,opentools
2009,openaccess
2009,openaccess
2009,openaccess
2019,openaccess
2014,openaccess
2009,openaccess
2009,opendata
2009,openmethod
2009,openpolicies
2009,opensoftware
2016,openaccess
2003,openaccess
2003,openaccess
2017,openaccess
2019,openaccess
2018,openaccess
2019,openaccess
2011,opentools
2010,openaccess
2020,openaccess
2011,openaccess
2020,opendata
2020,openaccess
2016,opendata
2017,opendata
2020,openaccess
2016,openaccess
2016,openevaluation
2020,openaccess
2020,openevaluation
2007,openaccess
2019,opendata
2020,opendata
2020,openevaluation
2009,openaccess
2009,openevaluation
2019,openaccess
2019,openevaluation
2020,opendata
2020,openpolicies
2020,opendata
2020,openpolicies
2019,openaccess
2016,opendata
2016,openmethod
2015,openaccess
2020,openaccess
2020,openevaluation
2014,openaccess
2018,openaccess
2011,openaccess
2016,openaccess
2015,openaccess
2015,openevaluation
2020,opendata
2020,openpolicies
2014,openaccess
2014,openaccess
2019,openaccess
2018,openaccess
2010,openaccess
2013,openaccess
2014,openaccess
2011,openaccess
2014,openaccess
2018,openaccess
2019,openaccess
2020,opendata
2020,openevaluation
2019,opendata
2019,openpolicies
2011,openaccess
2008,openaccess
2020,openmethod
2020,openaccess
2007,openaccess
2016,opendata
2016,openmethod
2008,openaccess
2018,opendata
2018,openmethod
2017,opendata
2018,opendata
2015,opendata
2015,openaccess
2015,openeducation
2016,openaccess
2013,openaccess
2013,openpolicies
2014,openaccess
2016,openaccess
2018,openaccess
2019,openaccess
2020,openeducation
2020,openmethod
2020,opentools
2020,opendata
2008,openaccess
2006,openaccess
2004,openaccess
2018,openaccess
2018,openpolicies
2020,openaccess
2020,openmethod
2013,openaccess
2019,openaccess
2019,openevaluation
2018,openaccess
2019,openmethod
2019,opendata
2019,openevaluation
2016,opendata
2017,opendata
2020,openmethod
2020,opendata
2020,openaccess
2013,openaccess
2012,openaccess
